year,make,model,condition,transmission,body,color,interior,odometer,mmr,Vacant,sellingprice
2013,Hyundai,Sonata Hybrid,4.8,,Sedan,silver,gray,1111,15550,43,15800
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,â€”,black,19729,23300,43,24500
2013,Hyundai,Accent,4.6,automatic,Hatchback,silver,black,27387,9950,7,11400
2013,Infiniti,G Sedan,3.9,automatic,G Sedan,white,black,23097,22900,43,21250
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,black,black,9373,24900,43,26250
2013,Infiniti,G Sedan,4.9,automatic,G Sedan,silver,black,15802,23800,7,25000
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,black,black,27333,22400,43,24500
2013,Hyundai,Sonata Hybrid,4.9,automatic,Sedan,white,beige,8495,15500,43,16100
2013,Hyundai,Sonata,4.3,automatic,Sedan,silver,gray,22033,13050,43,13700
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,black,black,20263,23200,24,26000
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,black,black,28694,22200,43,21500
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,gray,black,30464,22000,43,24000
2013,Infiniti,G Sedan,4.6,automatic,G Sedan,white,gray,10610,24400,43,23500
2013,Hyundai,Elantra,3.5,automatic,Sedan,silver,gray,25447,12150,43,7500
2013,Hyundai,Elantra,3.1,automatic,Sedan,red,tan,13505,14550,43,13800
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,white,gray,19573,23300,7,22000
2013,Hyundai,Veloster,4.8,automatic,Hatchback,yellow,black,27532,13100,43,11300
2013,Hyundai,Elantra,2,automatic,Sedan,gray,beige,33158,11650,26,9400
2013,Hyundai,Sonata,4.4,automatic,Sedan,white,beige,36991,12100,43,13400
2013,Hyundai,Sonata,2,automatic,Sedan,red,beige,35518,12200,43,10700
2013,Hyundai,Santa Fe,5,automatic,SUV,blue,gray,15160,23100,43,22200
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,black,black,20202,23200,43,21750
2013,Hyundai,Genesis Coupe,4.8,automatic,Genesis Coupe,red,black,12730,21400,33,23000
2013,Hyundai,Sonata Hybrid,4.7,automatic,Sedan,black,gray,11798,18650,26,18400
2013,Hyundai,Santa Fe,4.3,automatic,SUV,green,beige,41783,17600,31,17400
2013,Hyundai,Genesis,4.4,automatic,Sedan,silver,black,35995,25900,43,27200
2013,Infiniti,G Sedan,4.6,automatic,G Sedan,white,gray,17541,23600,43,24750
2013,Hyundai,Sonata,3.8,automatic,Sedan,silver,gray,40322,11900,1,12300
2013,Hyundai,Sonata,3.8,automatic,Sedan,black,beige,47516,11850,43,11700
2013,Hyundai,Accent,4.7,manual,Hatchback,green,black,15813,10500,43,9500
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,black,black,23470,22800,43,24500
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,gray,black,29782,22100,7,21500
2013,Infiniti,G Sedan,3.9,automatic,G Sedan,blue,black,10993,24400,43,24250
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,gray,black,18921,23400,43,21750
2013,Hyundai,Tucson,4.4,automatic,SUV,white,beige,32413,16150,43,17500
2013,Hyundai,Sonata Hybrid,5,automatic,Sedan,silver,gray,20,20300,43,19900
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,white,black,32437,22000,43,20500
2013,Hyundai,Elantra,3.5,automatic,Sedan,gray,gray,38388,11350,43,11700
2013,Hyundai,Elantra,4,automatic,Sedan,black,gray,21579,12350,43,12600
2013,Infiniti,G Sedan,4.1,automatic,G Sedan,black,black,17672,23500,43,21500
